ALBUMID,TITLE,ARTISTID
1.0,For Those About To Rock We Salute You,1
2.0,Balls to the Wall,2
3.0,Restless and Wild,2
4.0,Let There Be Rock,1
5.0,Big Ones,3
6.0,Jagged Little Pill,4
7.0,Facelift,5
8.0,Warner 25 Anos,6
9.0,Plays Metallica By Four Cellos,7
10.0,Audioslave,8
11.0,Out Of Exile,8
12.0,BackBeat Soundtrack,9
13.0,The Best Of Billy Cobham,10
14.0,Alcohol Fueled Brewtality Live! [Disc 1],11
15.0,Alcohol Fueled Brewtality Live! [Disc 2],11
16.0,Black Sabbath,12
17.0,Black Sabbath Vol. 4 (Remaster),12
18.0,Body Count,13
19.0,Chemical Wedding,14
20.0,The Best Of Buddy Guy - The Millenium Collection,15
21.0,Prenda Minha,16
22.0,Sozinho Remix Ao Vivo,16
23.0,Minha Historia,17
24.0,Afrociberdelia,18
25.0,Da Lama Ao Caos,18
26.0,Acústico MTV [Live],19
27.0,Cidade Negra - Hits,19
28.0,Na Pista,20
29.0,Axé Bahia 2001,21
30.0,BBC Sessions [Disc 1] [Live],22
31.0,Bongo Fury,23
32.0,Carnaval 2001,21
33.0,Chill: Brazil (Disc 1),24
34.0,Chill: Brazil (Disc 2),6
35.0,Garage Inc. (Disc 1),50
36.0,Greatest Hits II,51
37.0,Greatest Kiss,52
38.0,Heart of the Night,53
39.0,International Superhits,54
40.0,Into The Light,55
41.0,Meus Momentos,56
42.0,Minha História,57
43.0,MK III The Final Concerts [Disc 1],58
44.0,Physical Graffiti [Disc 1],22
45.0,Sambas De Enredo 2001,21
46.0,Supernatural,59
47.0,The Best of Ed Motta,37
48.0,The Essential Miles Davis [Disc 1],68
49.0,The Essential Miles Davis [Disc 2],68
50.0,The Final Concerts (Disc 2),58
51.0,Up An' Atom,69
52.0,Vinícius De Moraes - Sem Limite,70
53.0,Vozes do MPB,21
54.0,"Chronicle, Vol. 1",76
55.0,"Chronicle, Vol. 2",76
56.0,Cássia Eller - Coleção Sem Limite [Disc 2],77
57.0,Cássia Eller - Sem Limite [Disc 1],77
58.0,Come Taste The Band,58
59.0,Deep Purple In Rock,58
60.0,Fireball,58
61.0,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,58
62.0,Machine Head,58
63.0,Purpendicular,58
64.0,Slaves And Masters,58
65.0,Stormbringer,58
66.0,The Battle Rages On,58
67.0,Vault: Def Leppard's Greatest Hits,78
68.0,Outbreak,79
69.0,Djavan Ao Vivo - Vol. 02,80
70.0,Djavan Ao Vivo - Vol. 1,80
71.0,Elis Regina-Minha História,41
72.0,The Cream Of Clapton,81
73.0,Unplugged,81
74.0,Album Of The Year,82
75.0,Angel Dust,82
76.0,King For A Day Fool For A Lifetime,82
77.0,The Real Thing,82
78.0,Deixa Entrar,83
79.0,In Your Honor [Disc 1],84
80.0,In Your Honor [Disc 2],84
81.0,One By One,84
82.0,The Colour And The Shape,84
83.0,My Way: The Best Of Frank Sinatra [Disc 1],85
84.0,Roda De Funk,86
85.0,As Canções de Eu Tu Eles,27
86.0,Quanta Gente Veio Ver (Live),27
87.0,Quanta Gente Veio ver--Bônus De Carnaval,27
88.0,Faceless,87
89.0,American Idiot,54
90.0,Appetite for Destruction,88
91.0,Use Your Illusion I,88
92.0,Use Your Illusion II,88
93.0,Blue Moods,89
94.0,A Matter of Life and Death,90
95.0,A Real Dead One,90
96.0,A Real Live One,90
97.0,Brave New World,90
98.0,Dance Of Death,90
99.0,Fear Of The Dark,90
100.0,Iron Maiden,90
101.0,Killers,90
102.0,Live After Death,90
103.0,Live At Donington 1992 (Disc 1),90
104.0,Live At Donington 1992 (Disc 2),90
105.0,No Prayer For The Dying,90
106.0,Piece Of Mind,90
107.0,Powerslave,90
108.0,Rock In Rio [CD1],90
109.0,Rock In Rio [CD2],90
110.0,Seventh Son of a Seventh Son,90
111.0,Somewhere in Time,90
112.0,The Number of The Beast,90
113.0,The X Factor,90
114.0,Virtual XI,90
115.0,Sex Machine,91
116.0,Emergency On Planet Earth,0
117.0,Synkronized,92
118.0,The Return Of The Space Cowboy,92
119.0,Get Born,93
120.0,Are You Experienced?,94
121.0,Surfing with the Alien (Remastered),95
122.0,Jorge Ben Jor 25 Anos,46
123.0,Jota Quest-1995,96
124.0,Cafezinho,97
125.0,Living After Midnight,98
126.0,Unplugged [Live],52
127.0,BBC Sessions [Disc 2] [Live],22
128.0,Coda,22
129.0,Houses Of The Holy,22
130.0,In Through The Out Door,22
131.0,IV,22
132.0,Led Zeppelin I,22
133.0,Led Zeppelin II,22
134.0,Led Zeppelin III,22
135.0,Physical Graffiti [Disc 2],22
136.0,Presence,22
137.0,The Song Remains The Same (Disc 1),22
138.0,The Song Remains The Same (Disc 2),22
139.0,A TempestadeTempestade Ou O Livro Dos Dias,99
140.0,Mais Do Mesmo,99
141.0,Greatest Hits,100
142.0,Lulu Santos - RCA 100 Anos De Música - Álbum 01,101
143.0,Lulu Santos - RCA 100 Anos De Música - Álbum 02,101
144.0,Misplaced Childhood,102
145.0,Barulhinho Bom,103
146.0,Seek And Shall Find: More Of The Best (1963-1981),104
147.0,The Best Of Men At Work,105
148.0,Black Album,50
149.0,Garage Inc. (Disc 2),0
150.0,Kill 'Em All,50
151.0,Load,50
152.0,Master Of Puppets,50
153.0,ReLoad,50
154.0,Ride The Lightning,50
155.0,St. Anger,50
156.0,...And Justice For All,50
157.0,Miles Ahead,68
158.0,Milton Nascimento Ao Vivo,42
159.0,Minas,42
160.0,Ace Of Spades,106
161.0,Demorou...,108
162.0,Motley Crue Greatest Hits,109
163.0,From The Muddy Banks Of The Wishkah [Live],110
164.0,Nevermind,110
165.0,Compositores,111
166.0,Olodum,112
167.0,Acústico MTV,113
168.0,Arquivo II,113
169.0,Arquivo Os Paralamas Do Sucesso,113
170.0,Bark at the Moon (Remastered),114
171.0,Blizzard of Ozz,114
172.0,Diary of a Madman (Remastered),114
173.0,No More Tears (Remastered),114
174.0,Tribute,114
175.0,Walking Into Clarksdale,115
176.0,Original Soundtracks 1,116
177.0,The Beast Live,117
178.0,Live On Two Legs [Live],118
179.0,Pearl Jam,118
180.0,Riot Act,118
181.0,Ten,118
182.0,Vs.,118
183.0,Dark Side Of The Moon,120
LOGIC_ERROR,Os Cães Ladram Mas A Caravana Não Pára,121
185.0,Greatest Hits I,51
186.0,News Of The World,51
187.0,Out Of Time,122
188.0,Green,124
189.0,New Adventures In Hi-Fi,124
190.0,The Best Of R.E.M.: The IRS Years,124
191.0,Cesta Básica,125
192.0,Raul Seixas,126
193.0,Blood Sugar Sex Magik,127
194.0,By The Way,127
195.0,Californication,127
196.0,Retrospective I (1974-1980),128
197.0,Santana - As Years Go By,59
198.0,Santana Live,59
199.0,Maquinarama,130
200.0,O Samba Poconé,130
201.0,Judas 0: B-Sides and Rarities,131
202.0,Rotten Apples: Greatest Hits,131
203.0,A-Sides,132
204.0,Morning Dance,53
205.0,In Step,133
206.0,Core,134
207.0,Mezmerize,0
208.0,LOGIC_ERROR,136
209.0,Live [Disc 1],137
210.0,Live [Disc 2],137
211.0,The Singles,138
212.0,12345,139
213.0,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",139
214.0,The Doors,140
215.0,The Police Greatest Hits,141
216.0,"Hot Rocks, 1964-1971 (Disc 1)",142
217.0,No Security,142
218.0,Voodoo Lounge,142
219.0,Tangents,143
220.0,Transmission,12345
221.0,My Generation - The Very Best Of The Who,144
222.0,12345,145
223.0,Serie Sem Limite (Disc 2),145
224.0,Acústico,146
225.0,Volume Dois,146
226.0,Battlestar Galactica: The Story So Far,147
227.0,"Battlestar Galactica, Season 3",147
228.0,"Heroes, Season 1",148
229.0,"Lost, Season 3",149
230.0,"Lost, Season 1",149
231.0,"Lost, Season 2",149
232.0,Achtung Baby,150
233.0,All That You Can't Leave Behind,150
234.0,B-Sides 1980-1990,150
235.0,How To Dismantle An Atomic Bomb,150
236.0,Pop,150
237.0,Rattle And Hum,150
238.0,The Best Of 1980-1990,150
239.0,War,150
240.0,Zooropa,150
241.0,UB40 The Best Of - Volume Two [UK],151
242.0,Diver Down,152
243.0,"The Best Of Van Halen, Vol. I",152
244.0,Van Halen,152
245.0,Van Halen III,152
246.0,Contraband,153
247.0,Vinicius De Moraes,72
248.0,LOGIC_ERROR,155
249.0,"The Office, Season 1",156
250.0,"The Office, Season 2",156
251.0,"The Office, Season 3",156
252.0,Un-Led-Ed,157
253.0,"Battlestar Galactica (Classic), Season 1",158
254.0,Aquaman,159
255.0,Instant Karma: The Amnesty International Campaign to Save Darfur,150
256.0,Speak of the Devil,114
257.0,20th Century Masters - The Millennium Collection: The Best of Scorpions,179
258.0,House of Pain,180
259.0,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,36
260.0,Cake: B-Sides and Rarities,196
261.0,"LOST, Season 4",149
262.0,Quiet Songs,197
263.0,Muso Ko,198
264.0,Realize,199
265.0,Every Kind of Light,200
266.0,Duos II,201
267.0,Worlds,202
268.0,The Best of Beethoven,203
269.0,Temple of the Dog,204
270.0,Carry On,205
271.0,Revelations,8
272.0,Adorate Deum: Gregorian Chant from the Proper of the Mass,206
273.0,Allegri: Miserere,207
274.0,Pachelbel: Canon & Gigue,208
275.0,Vivaldi: The Four Seasons,209
276.0,Bach: Violin Concertos,210
277.0,Bach: Goldberg Variations,211
278.0,Bach: The Cello Suites,212
279.0,Handel: The Messiah (Highlights),213
LOGIC_ERROR,The World of Classical Favourites,214
281.0,Sir Neville Marriner: A Celebration,215
282.0,Mozart: Wind Concertos,216
283.0,Haydn: Symphonies 99 - 104,217
284.0,Beethoven: Symhonies Nos. 5 & 6,218
285.0,A Soprano Inspired,219
286.0,Great Opera Choruses,220
287.0,Wagner: Favourite Overtures,221
288.0,"Fauré: Requiem, Ravel: Pavane & Others",222
289.0,Tchaikovsky: The Nutcracker,223
290.0,The Last Night of the Proms,224
291.0,Puccini: Madama Butterfly - Highlights,225
292.0,"Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies",226
293.0,Pavarotti's Opera Made Easy,227
294.0,Great Performances - Barber's Adagio and Other Romantic Favorites for Strings,228
295.0,Carmina Burana,229
296.0,"A Copland Celebration, Vol. I",230
297.0,Bach: Toccata & Fugue in D Minor,231
298.0,Prokofiev: Symphony No.1,232
299.0,Scheherazade,233
300.0,Bach: The Brandenburg Concertos,234
301.0,Chopin: Piano Concertos Nos. 1 & 2,235
LOGIC_ERROR,,236
303.0,Sibelius: Finlandia,237
304.0,Beethoven Piano Sonatas: Moonlight & Pastorale,238
305.0,Great Recordings of the Century - Mahler: Das Lied von der Erde,240
306.0,Elgar: Cello Concerto & Vaughan Williams: Fantasias,241
307.0,"Adams, John: The Chairman Dances",242
308.0,"Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory",243
309.0,Palestrina: Missa Papae Marcelli & Allegri: Miserere,244
310.0,Prokofiev: Romeo & Juliet,245
311.0,Strauss: Waltzes,226
312.0,Berlioz: Symphonie Fantastique,245
313.0,Bizet: Carmen Highlights,246
314.0,English Renaissance,247
315.0,Handel: Music for the Royal Fireworks (Original Version 1749),208
316.0,Grieg: Peer Gynt Suites & Sibelius: Pelléas et Mélisande,248
317.0,Mozart Gala: Famous Arias,249
ERROR,SCRIABIN: Vers la flamme,250
319.0,Armada: Music from the Courts of England and Spain,251
320.0,Mozart: Symphonies Nos. 40 & 41,248
321.0,Back to Black,252
322.0,Frank,252
323.0,Carried to Dust (Bonus Track Version),253
324.0,Beethoven: Symphony No. 6 'Pastoral' Etc.,0
325.0,Bartok: Violin & Viola Concertos,255
326.0,Mendelssohn: A Midsummer Night's Dream,256
,Bach: Orchestral Suites Nos. 1 - 4,257
328.0,"Charpentier: Divertissements, Airs & Concerts",258
329.0,South American Getaway,259
330.0,Górecki: Symphony No. 3,260
331.0,Purcell: The Fairy Queen,261
332.0,The Ultimate Relexation Album,262
333.0,Purcell: Music for the Queen Mary,263
334.0,Weill: The Seven Deadly Sins,264
335.0,"J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro",265
336.0,Prokofiev: Symphony No.5 & Stravinksy: Le Sacre Du Printemps,248
337.0,"Szymanowski: Piano Works, Vol. 1",266
338.0,Nielsen: The Six Symphonies,267
339.0,Great Recordings of the Century: Paganini's 24 Caprices,268
340.0,Liszt - 12 Études D'Execution Transcendante,269
341.0,"Great Recordings of the Century - Shubert: Schwanengesang, 4 Lieder",270
342.0,"Locatelli: Concertos for Violin, Strings and Continuo, Vol. 3",271
343.0,Respighi:Pines of Rome,226
344.0,Schubert: The Late String Quartets & String Quintet (3 CD's),272
345.0,Monteverdi: L'Orfeo,273
346.0,Mozart: Chamber Music,274
347.0,Koyaanisqatsi (Soundtrack from the Motion Picture),275
